序號,時間資訊 (紀年 / 人物年齡 / 會幕狀態),關鍵事件內容,地點 (地理),引用經文,備註 (細節遷移、釋義、譯名校對),耶穌基督後期聖徒教會正典關聯
47,二年一月 / 摩西 81 歲 / 會幕營運中,「十二個首領都來奉獻。」各支派首領連續十二天到會幕奉獻銀盤、金爵及各類犧牲，為壇行奉獻禮。,西奈山腳 (會幕前),民 7:1-89,十二首領連奉獻十二天。祭壇受膏。神與摩西說話。,各支派對敬拜生活的貢獻。
48,二年一月十四日 / 摩西 81 歲 / 會幕營運中,「他們就在西奈的曠野守逾越節。」以色列人按著律法所定的時間，在出埃及後的第二年守節，紀念蒙救贖。,西奈山腳 (營地),民 9:1-5,出埃及後的第二次逾越節。按律法日期守節。,聖約民對救贖恩典的紀念。
49,二年二月初一日 / 摩西 81 歲 / 會幕營運中,「你要按家室、宗族、人名的數目數點。」神命摩西數點二十歲以上能打仗的男人，總數為 603550 人。,西奈山腳 (營地中央),民 1:1-46,二十歲以上能打仗的共 603550 人。,神國軍隊的編制與組織。
50,二年二月 / 摩西 81 歲 / 會幕營運中,「利未人要在帳幕四周安營。」利未人被分別出來負責看管與搬運會幕，替代以色列各家的首生長子。,西奈山腳 (會幕周邊),民 3-4,替換以色列人的長子。分管器物與抬棚幕。,服務聖職的專業分工。
51,二年二月二十日 / 摩西 81 歲 / 會幕移動中,「雲彩從法櫃的帳幕收上去。」百姓離開西奈山，各支派按班次起行，約櫃在前面領路三天的程途。,西奈山 (起行點),民 10:11-36,出發前往巴蘭曠野。約櫃先行三天的路程。,結束在西奈山近一年的停留。
52,二年三月 / 摩西 81 歲 / 會幕移動中,「耶和華發怒，火就在他們中間焚燒。」百姓在他備拉發怨言，火在營邊焚燒，經摩西代求後火才熄滅。,他備拉 (曠野點),民 11:1-3,百姓怨苦。神發怒審判。摩西代求。,對神帶領不知足的後果。
53,二年三月 / 摩西 81 歲 / 會幕移動中,「有風從耶和華那裡颳起，把鵪鶉由海面颳來。」百姓因厭嗎哪而哭求肉食，神降下大批鵪鶉並隨即降災審判。,基博羅哈他瓦 (慾望地),民 11:4-35,因貪慾而死的人葬於此。立七十位長老。,肉體情慾對靈性的侵蝕。
54,二年三月 / 摩西 81 歲 / 會幕移動中,「米利暗長了大痲瘋，有雪那樣白。」米利暗亞倫毀謗摩西，神降臨責備並使米利暗生痲瘋，關鎖營外七天。,哈洗錄 (安營點),民 12:1-16,米利暗因摩西娶古實女子而毀謗。關鎖七天。,不可挑戰神僕的先知鑰權。
55,二年 / 摩西 81 歲 / 會幕移動中,「派人去窺探我所賜給以色列人的迦南地。」摩西從每支派選一首領，派遣十二人前往南方山地觀察民情地產。,巴蘭曠野 (加低斯),民 13:1-25,每支派選一人。從南地進入山地。加低斯（意為「聖潔」）,對應許之地實地考察。
56,二年 / 摩西 81 歲 / 會幕移動中,「我們在那裡所看見的人民都身量高大。」探子帶回巨型葡萄但報惡信，百姓恐懼哭號，欲另立首領回埃及。,巴蘭曠野 (加低斯營地),民 13:26-14:10,除迦勒約書亞外皆報憂。百姓欲立新首領回埃及。迦勒（意為「狗（象徵忠實）」）,信心缺失導致群體恐慌。
57,二年 / 摩西 81 歲 / 會幕移動中,「你們的屍首必倒在這曠野。」因百姓背信，神罰全會眾流浪四十年，二十歲以上發怨言者皆不得進迦南。,巴蘭曠野 (加低斯營地),民 14:11-38,新世代方能進地。舊世代屍首必倒在曠野。,對集體不信行為的審判。
58,二年 / 摩西 81 歲 / 無會幕狀態,「亞瑪力人和住在那山上的迦南人就下來擊打他們。」百姓不顧摩西勸阻強行攻山，被擊退直到何珥瑪。,何珥瑪 (邊界戰場),民 14:39-45,未有約櫃與摩西同行。被亞瑪力人殺退。何珥瑪（意為「毀滅、咒詛」）,缺乏神授權的行動必失敗。
59,流浪期間 / 摩西約 100 歲 / 會幕移動中,「地口開了，把他們和他們的家眷都吞下去。」可拉、大坍等人挑戰摩西權柄，地裂開將叛黨全數吞滅。,巴蘭曠野 (營地),民 16:1-35,地口開了吞滅叛黨。火燒獻香的二百五十人。,聖職職權的神聖不可侵犯。
60,流浪期間 / 摩西約 100 歲 / 會幕移動中,「亞倫的杖發了芽，開了花。」神命各首領取十二杖存放在法櫃前，翌日亞倫的杖發芽開花，印證其職分。,巴蘭曠野 (會幕前),民 17:1-13,十二杖存放櫃前。唯亞倫杖發芽結杏。,神親自揀選僕人的物理明證。
61,第 40 年一月 / 摩西 119 歲 / 會幕移動中,「米利暗死在那裡，就葬在那裡。」以色列全會眾抵達尋曠野，摩西的姊姊米利暗在此逝世並安葬。,尋曠野 (加低斯),民 20:1,流浪期結束重回加低斯。米利暗死。,出埃及一代領袖的逐漸凋零。
62,第 40 年 / 摩西 119 歲 / 會幕移動中,「摩西舉手，用杖擊打盤石兩下。」百姓無水喝，摩西未遵命「說話」而用杖擊打盤石，被罰不得領民進迦南。,米利巴水 (加低斯),民 20:2-13,神吩咐「說話」，摩西「擊打」。,嚴格順服先知指示的重要性。
63,第 40 年 / 摩西 119 歲 / 會幕移動中,「以東王說：你不可從我這裡過去。」摩西遣使求借道王道，以東王拒絕並率大軍防備，以色列遂繞道而行。,加低斯 (以東邊界),民 20:14-21,摩西派人交涉被拒。以色列人轉向繞道。,親族國家的冷酷對待。
64,第 40 年五月初一日 / 摩西 119 歲 / 會幕移動中,「摩西把亞倫的聖衣脫下來，給他的兒子以利亞撒穿上。」亞倫在何珥山頂逝世，聖職有序傳承予其子。,何珥山 (聖職地),民 20:22-29,33:38何珥（意為「山」）。,聖職鑰權的有序繼承。
65,第 40 年 / 摩西 119 歲 / 會幕移動中,「把迦南人和他們的城邑盡行毀滅。」迦南王亞拉得主動襲擊，以色列人求神幫助並徹底摧毀其城邑。,亞拉得 (南地),民 21:1-3,迦南人主動進攻。以色列人毀滅其城。亞拉得（意為「野驢」）,曠野流浪末期的首場大勝。
66,第 40 年 / 摩西 119 歲 / 會幕移動中,「摩西製造一隻銅蛇，掛在柱子上。」因怨言火蛇入營，摩西照神命製造銅蛇掛起，凡仰望銅蛇的人即活命。,阿伯 (曠野路段),民 21:4-9,百姓因路遠煩躁。火蛇進入營中。,預表基督被舉起使人得救。
67,第 40 年 / 摩西 119 歲 / 會幕移動中,「以色列人用刀殺了他，得了他的地。」以色列軍擊敗拒絕借道的亞摩利王西宏，奪取其首都希實本全境。,雅哈 (約旦河東),民 21:21-30,西宏不准借路。以色列奪取其全地。雅哈（意為「被踩踏的地方」）,河東土地征服的開始。
68,第 40 年 / 摩西 119 歲 / 會幕移動中,「擊殺了他和他的眾子。」巴珊王鄂率軍在以得來迎戰，以色列全殲其軍，奪取北部的巴珊全地。,以得來 (北部戰場),民 21:33-35,殺了鄂全軍。奪取巴珊全地。以得來（意為「強大的、有力的」）,巨人族勢力的終結。
69,第 40 年 / 摩西 119 歲 / 會幕移動中,「神使巴蘭口裡有話。」巴蘭受巴勒之僱欲咒詛，卻三度在山上發出祝福，並宣告以色列的強盛。,摩押平原 (巴勒營地),民 22-24,驢子說話。巴蘭三度在山上祝福。巴蘭（意為「吞吃百姓者」）,神保護百姓不受邪術攻擊。
70,第 40 年 / 摩西 119 歲 / 會幕移動中,「非尼哈手裡拿著槍，跟隨那以色列人進去。」百姓在什亭與摩押女行淫，非尼哈大發熱心刺死罪魁，瘟疫止息。,摩押平原 (什亭),民 25:1-18,非尼哈用槍刺死兩人。瘟疫止息。非尼哈（意為「銅嘴」）,淫亂對聖約純潔性的破壞。
71,第 40 年 / 摩西 119 歲 / 會幕移動中,「這就是被數點的以色列人。」在進入迦南前進行第二次民數統計，新世代成年壯丁共 601730 人。,摩押平原 (入關點),民 26:1-65,共 601730 人。利未人 23000 人。,新世代戰鬥力量的重新整備。
72,第 40 年 / 摩西 119 歲 / 會幕移動中,「摩西就照耶和華所吩咐的，將約書亞領來。」摩西在祭司與會眾前為約書亞按手，將領袖權柄正式授予他。,摩押平原 (會幕前),民 27:12-23,在以利亞撒前分給他榮譽，使其繼承領袖。,權柄鑰權的正式交接與認可。
73,第 40 年 / 摩西 119 歲 / 會幕移動中,「以色列人殺了米甸的五王。」以色列軍報復米甸人誘民犯罪之仇，擊殺米甸五王及術士巴蘭，奪其財物。,摩押平原 (外部邊界),民 31:1-12,報復什亭之仇。巴蘭亦在此戰被殺。,對引誘犯罪者的正義審判。
74,第 40 年十一月初一日 / 摩西 120 歲 / 會幕移動中,「照耶和華所吩咐他的一切話告訴以色列人。」摩西在河東向新世代詳細複述歷史與律法典章。,摩押平原 (約旦河東),申 1:1-3,總結曠野歷史，重申誡命。即申命記起始。,對新世代的臨終囑託。
75,第 40 年末 / 摩西 120 歲 / 會幕移動中,「耶和華把全地指給他看。」摩西在尼波山頂觀看應許之地全境，隨後死在山上，耶和華親自將其埋葬。,尼波山 (毗斯迦山),申 34:1-12,神親自埋葬。以色列人哀哭三十天。,偉大先知世俗使命的終結。
76,第 41 年一月初一日 / 約書亞 80 歲 / 會幕移動中,「我的僕人摩西死了。現在你要起來。」神命約書亞帶領百姓過河，應許腳掌所踏之地盡賜與他們。,摩押平原 (統帥營),約 1:1-18,神激勵他：你要大大壯膽。腳掌所踏之地。,新領導者的首個行動命令。
77,第 41 年一月 / 約書亞 80 歲 / 會幕移動中,「二人來到一個妓女名叫喇合的家裡。」約書亞暗派兩探子入城，喇合將其藏匿於房頂，換取全家得救誓言。,什亭 (出發點),約 2:1-21,喇合藏匿探子於房頂。達成救全家協議。喇合（意為「寬闊」）,信心的外邦人蒙受聖約恩惠。
78,第 41 年一月初十日 / 約書亞 80 歲 / 會幕移動中,「祭司的腳一入水，那從上往下流的水便在極遠之地停住。」祭司抬櫃踏入約旦河，河水截斷立起，全眾走乾地。,約旦河 (河床中段),約 3:1-17,正月十日。河水立起成壘。百姓走乾地。,神蹟性地跨越自然邊界。
79,第 41 年一月十一日 / 約書亞 80 歲 / 會幕吉甲定點,「把那十二塊石頭立在吉甲。」約書亞在吉甲立石為證，並為曠野出生的新世代行割禮，滾去埃及羞辱。,吉甲 (首個營地),約 4-5,取河中石紀念。所有曠野出生的男子受割禮。吉甲（意為「滾動、滾去羞辱」）,「滾去埃及的羞辱」。新聖約印記。
80,第 41 年一月十四日 / 約書亞 80 歲 / 會幕吉甲定點,「逾越節的次日，他們就吃了那地的出產。」在吉甲守逾越節，次日嗎哪停止降下，開始吃迦南的出產。,吉甲 (首個營地),約 5:10-12,次日吃迦南出產。嗎哪從此不再降下。,超自然供應轉為勞動收穫。
81,第 41 年一月 / 約書亞 80 歲 / 會幕吉甲定點,「看見一個人手裡有拔出來的刀。」約書亞在城外見耶和華軍隊的元帥，遂脫鞋下跪，領受攻城指示。,耶利哥 (城外荒野),約 5:13-15,拔刀現身。吩咐脫鞋。表明神親自爭戰。耶利哥（意為「芬芳之地、月亮城」）,基督作為軍隊元帥的顯現。
82,第 41 年一月下旬 / 約書亞 80 歲 / 會幕吉甲定點,「城牆就塌陷，百姓便上去奪取那城。」圍城六日，第七日吹角大聲呼喊，耶利哥城牆應聲而下。,耶利哥 (倒塌城牆),約 6:1-27,每日一次，第七日七次。祭司吹角。,對迦南首座堅固城的信仰征服。
83,第 41 年二月 / 約書亞 80 歲 / 會幕吉甲定點,「艾城的人擊殺了他們三十六人。」因亞干犯罪，以色列軍初戰艾城敗北，百姓心都消化如水。,艾城 (敗北路段),約 7:1-5,以色列人在敵人面前轉背逃跑。亞干（意為「攪擾者、連累者」）、艾城（意為「荒堆」）,隱藏罪惡導致的整體失敗。
84,第 41 年二月 / 約書亞 80 歲 / 會幕吉甲定點,「以色列眾人用石頭打他。」亞干坦承偷取衣服金銀，約書亞將其帶往亞割谷處置，除去營中污穢。,亞割谷 (審判地點),約 7:16-26,取出隱藏物。全會眾用石頭打死。怒氣消。亞割（意為「連累、苦難」）,對罪惡的零容忍與集體潔淨。
85,第 41 年二月 / 約書亞 80 歲 / 會幕吉甲定點,「約書亞向艾城伸出手裡的短槍。」約書亞設伏兵引誘艾城軍出城，隨後火燒艾城，全殲其民。,艾城 (焚城中心),約 8:1-29,約書亞設伏兵。將王掛在樹上。,悔改後的策略性勝利。
86,第 41 年三月 / 約書亞 80 歲 / 會幕示羅定點,「約書亞在以巴路山上為耶和華築一座壇。」約書亞將律法抄寫在石頭上，在兩山對峙間向全眾宣讀律法。,以巴路山 (祭壇處),約 8:30-35,寫律法於石上。對著基利心山宣讀。以巴路山（意為「禿山」）、基利心山（意為「割斷」）,聖約民對法律的莊嚴承諾。
87,第 41 年間 / 約書亞 80 歲 / 會幕示羅定點,「我們是從極遠之地來的。」基遍人冒充遠客騙取立約，約書亞未求問神便允准，後令其作劈柴挑水的人。,基遍 (立約之處),約 9:1-27,偽裝遠方客。約書亞未求問神。後使其劈柴。基遍（意為「丘陵城」）,行政判斷若缺乏啟示必有失誤。
88,第 41 年間 / 約書亞 80 歲 / 會幕示羅定點,「日頭啊，你要停在基遍！」五王聯軍攻基遍，約書亞命令日月停住，耶和華降大冰雹擊殺敵軍。,基遍 (伯和崙坡),約 10:1-15,大冰雹落下。約書亞命令日月停住。,神掌控自然規律為民爭戰。
89,第 47 年 / 約書亞 86 歲 / 會幕示羅定點,「求你將這山地給我。」迦勒回憶四十年前誓言，求得希伯崙山地，並親自驅逐當地的亞那族巨人。,希伯崙 (山區),約 14:1-15,已 85 歲信心如初。成功驅逐巨人族。希伯崙（意為「盟友、友誼」）,恆久信心者的豐盛報償。
90,約書亞時代 / 約書亞 90 歲 / 會幕示羅定點,「以色列全會眾聚集在示羅，在那裡立起會幕。」地已被制伏後，會幕設立在示羅，各支派在此拈鬮分地。,示羅 (會幕定點),約 18:1-10,分地最後階段。示羅成為宗教中心。示羅（意為「安歇之所、平安者」）,神治體制在應許之地的穩定確立。
91,約書亞末期 / 約書亞 110 歲 / 會幕示羅定點,「至於我和我家，我們必定事奉耶和華。」約書亞召集支派在示劍立約，並立大石頭在橡樹下為證。,示劍 (立約石處),約 24:1-28,重溫從亞伯拉罕至今的歷史。至於我和我家。示劍（意為「肩頭」）,對信仰傳承的終極交託。
92,約書亞末期 / 約書亞 110 歲 / 無會幕狀態,「約書亞死在亭拿希烈。」約書亞死後葬在自己地業中，以色列人亦將約瑟骸骨葬在示劍，成就遺命。,亭拿希烈 (葬地),約 24:29-33,死時 110 歲。葬在示劍。結束得地時代。亭拿希烈（意為「太陽的部分、餘剩的部分」）,聖約民歷史階段的完美句點。
