序號,地名,緯度,經度,原因
1,哈蘭,36.867,39.031,"文本：亞伯拉罕停留地（創11–12）；考古：名稱延續、亞述文獻記載；地理：位於幼發拉底上游商道節點 🟢"
2,東方,33.000,40.000,"文本：指亞伯拉罕原鄉方向；考古：無；地理：泛指美索不達米亞區域 🔴"
3,多坍,32.420,35.370,"文本：創37商隊經過；考古：青銅時代遺址；地理：位於Via Maris支線、谷地適牧 🟢"
4,雅博渡口,32.213,35.620,"文本：雅各過河摔跤（創32）；考古：河道可辨；地理：唯一可渡東西支流 🟢"
5,示劍,32.213,35.283,"文本：族長活動中心（創12,33）；考古：Tel Balata；地理：山地交通樞紐 🟢"
6,疏割,32.200,35.600,"文本：雅各築棚（創33）；考古：未確定；地理：雅博河出口平原合理 🟡"
7,迦南東方,32.000,36.000,"文本：方向詞；考古：無；地理：約旦高原區域 🔴"
8,基列山,32.000,35.700,"文本：拉班追雅各（創31）；考古：區域性名稱；地理：約旦東山地 🟡"
9,伯特利,31.940,35.240,"文本：雅各夢天梯（創28）；考古：名稱延續；地理：山脊線要道 🟢"
10,伯特利下邊,31.900,35.230,"文本：創35「下邊」；考古：無；地理：南坡位置合理 🟡"
11,伊拿印,31.870,34.950,"文本：猶大他瑪事件（創38）；考古：未確定；地理：亭拿附近古道交會 🟡"
12,沙微谷,31.780,35.230,"文本：王谷（創14）；考古：未確定；地理：耶路撒冷東谷傳統 🟡"
13,摩利亞山,31.778,35.235,"文本：亞伯拉罕獻以撒（創22）；考古：傳統定位；地理：高地中心 🟡"
14,伯利恆,31.705,35.200,"文本：拉結埋葬（創35）；考古：名稱延續；地理：山地南段 🟢"
15,以得臺,31.700,35.200,"文本：創35牧羊塔；考古：未確定；地理：牧場區合理 🟡"
16,希伯崙,31.532,35.099,"文本：族長長住（創13）；考古：麥比拉洞；地理：南山地中心 🟢"
17,別是巴,31.252,34.791,"文本：亞伯拉罕築壇（創21）；考古：水井遺址；地理：南界水源點 🟢"
18,西訂谷,31.200,35.300,"文本：創14瀝青坑；考古：死海南部瀝青；地理：斷層盆地 🔴"
19,所多瑪,31.200,35.370,"文本：毀滅（創19）；考古：Bab edh-Dhra爭議；地理：死海平原 🔴"
20,基拉耳,31.100,34.600,"文本：亞伯拉罕寄居（創20）；考古：未確定；地理：沿海與內陸交界 🟡"
21,瑣珥,31.000,35.460,"文本：羅得逃城（創19）；考古：Safi傳統；地理：死海東南 🟡"
22,歌珊,30.900,31.800,"文本：約瑟安置家族（創47）；考古：尼羅河東三角洲；地理：適牧 🟡"
23,西珥山,30.900,35.300,"文本：以東居地（創36）；考古：以東遺址；地理：紅色山地 🟡"
24,庇耳·拉海·萊,30.800,34.800,"文本：夏甲井（創16）；考古：未確定；地理：南地通埃及路 🟡"
25,埃及安城,30.650,31.260,"文本：約瑟岳父地（創41）；考古：古城On；地理：尼羅河文化中心 🟢"
26,巴蘭,30.500,34.500,"文本：曠野；考古：無；地理：西奈北部 🔴"
27,埃及,26.800,30.800,"文本：寄居地；考古：文明中心；地理：尼羅河流域 🟢"